No,Nama Produk,Harga,Rating,Terjual,Toko,Lokasi
1,Lenovo Legion 9i i9-14900HX RTX4090 2TB SSD 64GB 3K Mini LED 100%sRGB 165Hz Win11+OHS,77999000,Tidak Ada Rating,Tidak Ada Data,Lenovo Authorized Jakarta Barat,Jakarta Barat
2,LENOVO THINKPAD PRO P15 WORKSTATION XEON W11855 RTX A5000 128GB 1TB 4K,69999000,5.0,30+ terjual,ProStoreComputer,Jakarta Utara
3,Dell Mobile Precision 5680 - Core i7-13800H 32GB 1TB RTX2000 W11 Pro,62889000,5.0,3 terjual,DELL PREMIUM OFFICIAL,Jakarta Barat
4,ASUS ZENBOOK PRO 16X OLED UX7602BZ TOUCH I9 13905 RTX4080 32GB 2TB W11,59999000,4.8,11 terjual,ProStoreComputer,Jakarta Utara
5,ASUS Zenbook 17 Fold OLED UX9702AA i7-1250U 16GB 1TB W11+OHS,50999000,5.0,5 terjual,KBM 24 STORE,Jakarta Utara
6,DELL LATITUDE 13 7340 TOUCH I7 1365 16GB 512GB W11PRO OFFICE 13.3FHD,50000000,5.0,18 terjual,ProStoreComputer,Jakarta Utara
7,HP ZBOOK POWER 16-G11 ULTRA 7-155H 64GB 1TB RTX2000 ADA 8GB W11 PRO TOUCH,45999000,Tidak Ada Rating,Tidak Ada Data,Global Persada System,Jakarta Pusat
8,Asus ROG Zephyrus AI G16 Oled GA605WI RYZEN AI 9 HX370 RTX4070 8GB 32GB 1TB 16QHD 240HZ,45699000,Tidak Ada Rating,Tidak Ada Data,ALIENWARE GAMING STORE,Jakarta Utara
9,"LENOVO THINKPAD PRO P16 WORKSTATION RTX4090 CORE I9 13900 16GB/ 32GB 1TB W11PRO 16""QHD IPS",43989000,Tidak Ada Rating,Tidak Ada Data,ALIENWARE GAMING STORE,Jakarta Utara
10,"ASUS ROG STRIX SCAR 16 G634JY CORE I9 13980 RTX4090 64GB 2TB W11PRO 16""QHD IPS 240Hz",41999000,5.0,13 terjual,ALIENWARE GAMING STORE,Jakarta Utara
11,LENOVO THINKPAD X1 CARBON G11 TOUCH I7 1355 1370P 64GB 1TB W11PRO 14.0FHD IPS,40999000,5.0,12 terjual,ProStoreComputer,Jakarta Utara
12,Huawei MateBook X Pro Laptop Intel i7 12th Gen 16GB 1TB Garansi Resmi,39999000,Tidak Ada Rating,Tidak Ada Data,Kumparan Cellular,Jakarta Timur
13,Asus ROG Zephyrus G16 GU605MV-I946OL7G-O Ultra 9 185H 32GB 1TB SSD RTX4060 8GB 16″ 2.5K OLED 240Hz Win 11 Home OHS Eclipse Gray,39999000,5.0,30+ terjual,ASUS ROG Indonesia,Jakarta Pusat
14,"Asus Proart Studiobook Pro 16 OLED RTXA3000 I9 13980 64GB 2TB 16"" 3.2K",39500000,Tidak Ada Rating,1 terjual,AI Official Store,Jakarta Utara
15,"Macbook Pro M3 Max  16"" inch 2023 iBox 48GB 512GB 1TB Grey Silver",38852000,5.0,100+ terjual,Digitalisme Store,Jakarta Pusat
16,Lenovo ThinkPad X1 Carbon Gen 12 Core Ultra 7 165U 32GB 1TB W11 Pro Touch,38300000,5.0,6 terjual,Lenovo Official,Jakarta Pusat
17,Lenovo Thinkpad X1 Yoga Gen 9 2in1 Intel Ultra 7 165U 32GB RAM 1TB SSD Windows 11 Pro Touchscreen 5YID,37799000,5.0,3 terjual,Thinkpad Official Store,Jakarta Utara
18,Lenovo ThinkPad P14s Gen 5 (Intel) Core Ultra 7 165H 32GB 1TB SSD W11Pro,36500000,Tidak Ada Rating,1 terjual,Lenovo Official,Jakarta Pusat
19,"Lenovo Thinkpad X1 Carbon Gen 12 2024 Intel Ultra 7 165U 32GB RAM 1TB SSD Windows 11 Pro Touch 14""",35999000,5.0,27 terjual,Thinkpad Official Store,Jakarta Utara
20,Lenovo ThinkPad X1 Carbon Intel Ultra 7 165U 1TB SSD 32GB 100%sRGB Win11Pro,35250000,Tidak Ada Rating,3 terjual,Lenovo Authorized Jakarta Barat,Jakarta Barat
21,Lenovo ThinkPad Z13 Gen 1 - 3TID AMD Ryzen 7 Pro 32GB 1TB 680M,35047000,5.0,3 terjual,Lenovo Authorized Jakarta Selatan,Jakarta Barat
22,MSI STEALTH A1VGG 16  MERCEDES OLED ULTRA 9 185H RTX4070 32GB 2TB W11+OHS 16.0QHD+ 240HZ,34999000,5.0,15 terjual,MSI STORE ID_NEW,Jakarta Pusat
23,Lenovo ThinkPad X12 Detachable Gen 2 Core Ultra 7 164U 32GB 1TB SSD Win 11 Pro,34899000,5.0,3 terjual,Lenovo Official,Jakarta Pusat
24,"ASUS ZENBOOK 17 FOLD OLED UX9702AA TOUCH I7 1250 16GB 1TB W11PRO 17.3""",34799000,Tidak Ada Rating,1 terjual,Gaming Laptop ID,Jakarta Utara
25,Lenovo Thinkpad X1 Carbon Gen 12 2024 Intel Core Ultra 7 165U 32GB RAM 1TB SSD Windows 11 Pro 7XID,34199000,5.0,20 terjual,Thinkpad Official Store,Jakarta Utara
26,LENOVO THINKPAD X1 YOGA GEN 8 21HQ007YID - i7-1365U/16GB/1TB/TS14/GREY,33999000,Tidak Ada Rating,Tidak Ada Data,IT Galeri,Tangerang Selatan
27,"ASUS ZenBook Pro 14 OLED UX6404VI-OLEDS911 intel core i9-13900H ram 16GB ssd 1TB 14.5"" 2.8K W11 OHS",33999000,Tidak Ada Rating,Tidak Ada Data,Super Laris IT,Makassar
28,Apple Macbook Pro M4 Pro 14 inch - Garansi Resmi Apple Indonesia iBox,32999000,5.0,30+ terjual,Universe Store,Jakarta Utara
29,Lenovo ThinkPad P16v Gen 1 (Intel) Core i7-13700H 16G 1T RTX A500 4GB,32999000,5.0,2 terjual,Lenovo Official,Jakarta Pusat
