No,Nama Produk,Harga,Rating,Terjual,Toko,Lokasi
1,"Lenovo Legion Pro 7i 36ID i9 13900HX/32GB/2TB SSD/RTX4080 12GB/16""/W11",47999000,Tidak Ada Rating,Tidak Ada Data,SOFTCOM,Medan
2,"MSI Vector 17 HX A14VHG 1005 i9 14900HX/16GB/1TB SSD/RTX4080 12GB/17"" QHD+ 240Hz/W11",42999000,Tidak Ada Rating,Tidak Ada Data,SOFTCOM,Medan
3,"MSI Vector 16 HX A13VHG 276 i9 13980HX/16GB/1TB SSD/RTX4080/16"" 144Hz/W11",36999000,Tidak Ada Rating,Tidak Ada Data,SOFTCOM,Medan
4,Lenovo ThinkPad X1 Carbon Intel Ultra 7 165U 1TB SSD 32GB 100%sRGB Win11Pro,35250000,Tidak Ada Rating,3 terjual,Lenovo Authorized Jakarta Barat,Jakarta Barat
5,"MSI Stealth A16 AI+ A3HVFG 053 Ryzen AI 9 365/32GB/1TB/RTX4060/16""QHD+/W11",32499000,Tidak Ada Rating,Tidak Ada Data,SOFTCOM,Medan
6,"MSI Summit A16 AI+ A3HMTG 041 Ryzen AI 9 365/32GB/1TB SSD/16"" QHD+ Touch/W11+OHS",23499000,Tidak Ada Rating,Tidak Ada Data,SOFTCOM,Medan
7,"Lenovo Legion 5 0BID i7 13650HX/24GB/512GB SSD/RTX4060 8GB/15.6"" 144Hz/W11",20999000,Tidak Ada Rating,1 terjual,SOFTCOM,Medan
8,ASUS Zenbook 14 OLED UX3405MA Intel Ultra 7 155H 1TB SSD 32GB 3K OLED,18999000,5.0,100+ terjual,Sinarmulia Sukses Makmur,Jakarta Barat
9,"Lenovo Yoga Pro 7 14 OLED Ryzen AI 9 365 32GB 1TB W11+OHS 14.5 2.8K 14.5"" 2.8K WQXGA+ 120Hz -0NID",18899000,5.0,20 terjual,AMD Official Store,Jakarta Utara
10,Lenovo Yoga Slim 7i Intel Ultra 7 155H 1TB SSD 16GB OLED Touch Win11,17989000,Tidak Ada Rating,13 terjual,Lenovo Authorized Jakarta Barat,Jakarta Barat
11,"Asus UX3405CA OLED5111TM OLED5112TM Ultra 5 225H/16GB/1TB SSD/14"" Touch WUXGA/W11 Zenbook 14",17599000,Tidak Ada Rating,1 terjual,SOFTCOM,Medan
12,HUAWEI MateBook 14 2024 [16GB + 1TB] | 2.8K OLED Touch-Control Handwriting Screen | Intel Core Ultra Processors,15999000,4.9,100+ terjual,Huawei Indonesia,Tangerang
